"Hex","Dec","InvDec","Symbol","Description"
"00000000","0","-4294967296","ERROR_SUCCESS","The operation completed successfully."
"00000001","1","-4294967295","ERROR_INVALID_FUNCTION","Incorrect function."
"00000002","2","-4294967294","ERROR_FILE_NOT_FOUND","The system cannot find the file specified."
"00000003","3","-4294967293","ERROR_PATH_NOT_FOUND","The system cannot find the path specified."
"00000004","4","-4294967292","ERROR_TOO_MANY_OPEN_FILES","The system cannot open the file."
"00000005","5","-4294967291","ERROR_ACCESS_DENIED","Access is denied."
"00000006","6","-4294967290","ERROR_INVALID_HANDLE","The handle is invalid."
"00000007","7","-4294967289","ERROR_ARENA_TRASHED","The storage control blocks were destroyed."
"00000008","8","-4294967288","ERROR_NOT_ENOUGH_MEMORY","Not enough memory resources are available to process this command."
"00000009","9","-4294967287","ERROR_INVALID_BLOCK","The storage control block address is invalid."
"0000000A","10","-4294967286","ERROR_BAD_ENVIRONMENT","The environment is incorrect."
"0000000B","11","-4294967285","ERROR_BAD_FORMAT","An attempt was made to load a program with an incorrect format."
"0000000C","12","-4294967284","ERROR_INVALID_ACCESS","The access code is invalid."
"0000000D","13","-4294967283","ERROR_INVALID_DATA","The data is invalid."
"0000000E","14","-4294967282","ERROR_OUTOFMEMORY","Not enough storage is available to complete this operation."
"0000000F","15","-4294967281","ERROR_INVALID_DRIVE","The system cannot find the drive specified."
"00000010","16","-4294967280","ERROR_CURRENT_DIRECTORY","The directory cannot be removed."
"00000011","17","-4294967279","ERROR_NOT_SAME_DEVICE","The system cannot move the file to a different disk drive."
"00000012","18","-4294967278","ERROR_NO_MORE_FILES","There are no more files."
"00000013","19","-4294967277","ERROR_WRITE_PROTECT","The media is write protected."
"00000014","20","-4294967276","ERROR_BAD_UNIT","The system cannot find the device specified."
"00000015","21","-4294967275","ERROR_NOT_READY","The device is not ready."
"00000016","22","-4294967274","ERROR_BAD_COMMAND","The device does not recognize the command."
"00000017","23","-4294967273","ERROR_CRC","Data error"
"00000018","24","-4294967272","ERROR_BAD_LENGTH","The program issued a command but the command length is incorrect."
"00000019","25","-4294967271","ERROR_SEEK","The drive cannot locate a specific area or track on the disk."
"0000001A","26","-4294967270","ERROR_NOT_DOS_DISK","The specified disk or diskette cannot be accessed."
"0000001B","27","-4294967269","ERROR_SECTOR_NOT_FOUND","The drive cannot find the sector requested."
"0000001C","28","-4294967268","ERROR_OUT_OF_PAPER","The printer is out of paper."
